symbol	ensg	mapped	log_ppm
HBE1	ENSG00000213931	True	2.3502480183341627
PARP1	ENSG00000143799	True	2.3483048630481607
BLVRB	ENSG00000090013	True	2.3483048630481607
RPS13	ENSG00000110700	True	2.3483048630481607
RAB8A		False	2.346352974450639
RAB27B	ENSG00000041353	True	2.3443922736851106
GNG11	ENSG00000127920	True	2.3443922736851106
KRT6B	ENSG00000185479	True	2.342422680822206
RPL27A	ENSG00000166441	True	2.342422680822206
ERP29	ENSG00000089248	True	2.342422680822206
HMGA1	ENSG00000137309	True	2.3384564936046046
HPRT1	ENSG00000165704	True	2.3384564936046046
KPNB1	ENSG00000108424	True	2.3364597338485296
MARCKSL1	ENSG00000175130	True	2.3364597338485296
PZP	ENSG00000126838	True	2.3364597338485296
SH3BGRL	ENSG00000131171	True	2.3364597338485296
DLD	ENSG00000091140	True	2.3344537511509307
SRSF1	ENSG00000136450	True	2.3344537511509307
GDI1	ENSG00000203879	True	2.3324384599156054
NRGN	ENSG00000154146	True	2.3324384599156054
ARF1	ENSG00000143761	True	2.3324384599156054
HADHB	ENSG00000138029	True	2.330413773349191
EIF5AL1		False	2.330413773349191
LMNB1	ENSG00000113368	True	2.3283796034387376
DNM1L	ENSG00000087470	True	2.3283796034387376
SRP9		False	2.3283796034387376
CNN2	ENSG00000064666	True	2.3283796034387376
CAT	ENSG00000121691	True	2.326335860928751
CPN2	ENSG00000178772	True	2.3242824552976926
TUBB8	ENSG00000261456	True	2.3242824552976926
SNRPF		False	2.3242824552976926
RPS19		False	2.322219294733919
MARCKS	ENSG00000277443	True	2.3201462861110542
CAPZA2	ENSG00000198898	True	2.3201462861110542
PPP2R1A		False	2.3201462861110542
ILF3	ENSG00000129351	True	2.3201462861110542
SSB	ENSG00000138385	True	2.3180633349627615
RPS25	ENSG00000118181	True	2.3180633349627615
SSBP1	ENSG00000106028	True	2.3180633349627615
PSME2	ENSG00000100911	True	2.315970345456918
H3C12	ENSG00000197153	True	2.315970345456918
H3C10	ENSG00000278828	True	2.315970345456918
H3C4	ENSG00000197409	True	2.315970345456918
H3C1	ENSG00000275714	True	2.315970345456918
H3C11	ENSG00000275379	True	2.315970345456918
H3C7	ENSG00000277775	True	2.315970345456918
H3C8	ENSG00000273983	True	2.315970345456918
H3C3	ENSG00000287080	True	2.315970345456918
H3C2	ENSG00000286522	True	2.315970345456918
H3C6	ENSG00000274750	True	2.315970345456918
ARF3		False	2.315970345456918
UGP2	ENSG00000169764	True	2.3138672203691533
TRIM28	ENSG00000130726	True	2.3138672203691533
PYGB	ENSG00000100994	True	2.311753861055754
HMGN2	ENSG00000198830	True	2.311753861055754
RDX	ENSG00000137710	True	2.3096301674258988
IGFBP2		False	2.3096301674258988
PPIF		False	2.3096301674258988
LCN2	ENSG00000148346	True	2.307496037913213
PSMA3	ENSG00000100567	True	2.307496037913213
CS	ENSG00000062485	True	2.305351369446624
MPO	ENSG00000005381	True	2.305351369446624
