platform	arm	feature_id	uniprot	gene	ensg	n_samples	det_rate	det_rate_TDR1	det_rate_TDR4	mean_value	mean_value_detected	n_sequences	n_proteotypic	present	present_TDR1	present_TDR4
SomaScan	Media	29658-9	O15127	SCAMP2	ENSG00000140497	10.0	1.0	1.0	1.0	7.52734235348979	7.52734235348979			1	1	1
SomaScan	Media	2966-65	Q9Y240	CLEC11A	ENSG00000105472	10.0	1.0	1.0	1.0	8.389864525224718	8.389864525224718			1	1	1
SomaScan	Media	29660-153	P50213	IDH3A	ENSG00000166411	10.0	1.0	1.0	1.0	13.615001931611143	13.615001931611143			1	1	1
SomaScan	Media	29661-221	Q96BT3	CENPT	ENSG00000102901	10.0	0.1	0.0	0.2	7.3091855964609	7.423746229114772			0	0	0
SomaScan	Media	29662-5	O43172	PRPF4	ENSG00000136875	10.0	0.6	0.4	0.8	7.989043521952494	8.043273105649623			0	0	1
SomaScan	Media	2967-8	P19320	VCAM1	ENSG00000162692	10.0	1.0	1.0	1.0	8.02087231738371	8.02087231738371			1	1	1
SomaScan	Media	2968-61	O95150	TNFSF15	ENSG00000181634	10.0	1.0	1.0	1.0	8.844268858527293	8.844268858527293			1	1	1
SomaScan	Media	29680-12	P02686	MBP	ENSG00000197971	10.0	1.0	1.0	1.0	6.551526166350368	6.551526166350368			1	1	1
SomaScan	Media	29683-158	Q9H668	STN1	ENSG00000107960	10.0	0.1	0.0	0.2	8.057281801359501	8.168421410851925			0	0	0
SomaScan	Media	29686-79	Q9H7T9	AUNIP	ENSG00000127423	10.0	1.0	1.0	1.0	6.277420740035426	6.277420740035426			1	1	1
SomaScan	Media	29687-24	Q969Y2	GTPBP3	ENSG00000130299	10.0	0.1	0.0	0.2	7.8349492685530935	8.101713100188494			0	0	0
SomaScan	Media	2969-11	P37023	ACVRL1	ENSG00000139567	10.0	0.8	1.0	0.6	9.379313054985264	9.41028945353958			1	1	0
SomaScan	Media	29695-15	Q9NSP4	CENPM	ENSG00000100162	10.0	1.0	1.0	1.0	7.409027708000947	7.409027708000947			1	1	1
SomaScan	Media	2970-60	P15514	AREG	ENSG00000109321	10.0	1.0	1.0	1.0	9.666726607293501	9.666726607293501			1	1	1
SomaScan	Media	29707-4	Q9Y664	KPTN	ENSG00000118162	10.0	0.9	0.8	1.0	8.48045924831229	8.488827891109615			1	1	1
SomaScan	Media	29711-10	Q96NB2	SFXN2	ENSG00000156398	10.0	0.8	0.8	0.8	6.790914401019128	6.823602866917641			1	1	1
SomaScan	Media	29714-11	P16104	H2AX	ENSG00000188486	10.0	1.0	1.0	1.0	9.369615140006319	9.369615140006319			1	1	1
SomaScan	Media	29717-12	Q9UGK3	STAP2	ENSG00000178078	10.0	0.2	0.2	0.2	8.516715327483395	8.590208827653198			0	0	0
SomaScan	Media	2972-57	P18075	BMP7	ENSG00000101144	10.0	1.0	1.0	1.0	6.562189978225104	6.562189978225104			1	1	1
SomaScan	Media	29721-114	Q9NVM4	PRMT7	ENSG00000132600	10.0	0.1	0.0	0.2	9.19034398605402	9.350939181546432			0	0	0
SomaScan	Media	29724-126	Q9BVA6	FICD	ENSG00000198855	10.0	1.0	1.0	1.0	11.130402832745439	11.130402832745439			1	1	1
SomaScan	Media	29727-42	P35520	CBS	ENSG00000160200	10.0	0.0	0.0	0.0	6.648396935252231				0	0	0
SomaScan	Media	29728-5	Q99871	HAUS7	ENSG00000213397	10.0	1.0	1.0	1.0	12.255971299683889	12.255971299683889			1	1	1
SomaScan	Media	2973-15	P16671	CD36	ENSG00000135218	10.0	0.9	1.0	0.8	8.836984874175585	8.848085604604677			1	1	1
SomaScan	Media	2974-61	Q12860	CNTN1	ENSG00000018236	10.0	1.0	1.0	1.0	13.225639782872056	13.225639782872056			1	1	1
SomaScan	Media	29741-189	Q969X6	UTP4	ENSG00000141076	10.0	0.0	0.0	0.0	7.165221813368184				0	0	0
SomaScan	Media	29746-51	Q9Y2U9	KLHDC2	ENSG00000165516	10.0	1.0	1.0	1.0	9.2229135302107	9.2229135302107			1	1	1
SomaScan	Media	29747-13	Q6IA69	NADSYN1	ENSG00000172890	10.0	1.0	1.0	1.0	6.7676087596374	6.7676087596374			1	1	1
SomaScan	Media	29748-16	Q9UJY4	GGA2	ENSG00000103365	10.0	1.0	1.0	1.0	8.22177779639005	8.22177779639005			1	1	1
SomaScan	Media	2975-19	P29279	CCN2	ENSG00000118523	10.0	0.1	0.0	0.2	9.299367700646545	9.386940245324311			0	0	0
SomaScan	Media	29751-19	Q9H019	MTFR1L	ENSG00000117640	10.0	1.0	1.0	1.0	7.655957079415053	7.655957079415053			1	1	1
SomaScan	Media	29754-74	Q92734	TFG	ENSG00000114354	10.0	1.0	1.0	1.0	12.347754110408172	12.347754110408172			1	1	1
SomaScan	Media	29758-80	O14656	TOR1A	ENSG00000136827	10.0	0.1	0.0	0.2	7.616141939425279	7.698357405957285			0	0	0
SomaScan	Media	2976-58	Q02413	DSG1	ENSG00000134760	10.0	0.8	0.8	0.8	8.865755006749572	8.906136286041761			1	1	1
SomaScan	Media	29761-38	P48556	PSMD8	ENSG00000099341	10.0	1.0	1.0	1.0	10.764726350850108	10.764726350850108			1	1	1
SomaScan	Media	29762-24	Q99608	NDN		10.0	1.0	1.0	1.0	8.509745441777351	8.509745441777351			1	1	1
SomaScan	Media	29764-10	Q9BPX6	MICU1	ENSG00000107745	10.0	0.2	0.2	0.2	8.147082778318406	8.28135375195027			0	0	0
SomaScan	Media	29765-13	O95147	DUSP14	ENSG00000276023	10.0	0.4	0.0	0.8	9.608923710363973	9.681681238621428			0	0	1
SomaScan	Media	29766-76	O75718	CRTAP	ENSG00000170275	10.0	0.8	0.6	1.0	6.983904159253837	7.013414938981473			1	0	1
SomaScan	Media	29769-30	O15379	HDAC3	ENSG00000171720	10.0	1.0	1.0	1.0	7.416367944427833	7.416367944427833			1	1	1
SomaScan	Media	2977-7	Q9UNE0	EDAR	ENSG00000135960	10.0	0.0	0.0	0.0	9.089043813375461				0	0	0
SomaScan	Media	29771-27	Q9NYB9	ABI2	ENSG00000138443	10.0	1.0	1.0	1.0	9.305491830882524	9.305491830882524			1	1	1
SomaScan	Media	29772-27	P35237	SERPINB6	ENSG00000124570	10.0	1.0	1.0	1.0	10.456282730653019	10.456282730653019			1	1	1
SomaScan	Media	29773-6	Q04323	UBXN1	ENSG00000162191	10.0	1.0	1.0	1.0	6.876111056687239	6.876111056687239			1	1	1
SomaScan	Media	29774-24	Q16626	MEA1	ENSG00000124733	10.0	1.0	1.0	1.0	6.133389403232219	6.133389403232219			1	1	1
SomaScan	Media	29777-131	P57723	PCBP4	ENSG00000090097	10.0	1.0	1.0	1.0	8.520332990955566	8.520332990955566			1	1	1
SomaScan	Media	29779-18	Q8NCE2	MTMR14	ENSG00000163719	10.0	0.0	0.0	0.0	7.388581017419075				0	0	0
SomaScan	Media	29780-245	Q969R8	ITFG2	ENSG00000111203	10.0	1.0	1.0	1.0	8.801165499181604	8.801165499181604			1	1	1
SomaScan	Media	29783-259	Q9UGJ1	TUBGCP4	ENSG00000137822	10.0	1.0	1.0	1.0	8.541169131732863	8.541169131732863			1	1	1
SomaScan	Media	29784-1	Q9BQ15	NABP2	ENSG00000139579	10.0	0.2	0.0	0.4	7.811727863780479	7.955780258569971			0	0	0
SomaScan	Media	29787-29	Q86V97	KBTBD6	ENSG00000165572	10.0	0.6	0.4	0.8	9.121435390143962	9.156816464483208			0	0	1
SomaScan	Media	29788-85	Q9H6F2	TMEM38A	ENSG00000072954	10.0	1.0	1.0	1.0	7.70199188773428	7.70199188773428			1	1	1
SomaScan	Media	29789-30	Q9H000	MKRN2	ENSG00000075975	10.0	0.0	0.0	0.0	8.31906508127308				0	0	0
SomaScan	Media	2979-8	P42830	CXCL5	ENSG00000163735	10.0	0.9	0.8	1.0	7.90487964173357	7.917442482908208			1	1	1
SomaScan	Media	29791-2	Q9NX76	CMTM6	ENSG00000091317	10.0	1.0	1.0	1.0	9.76205277199325	9.76205277199325			1	1	1
SomaScan	Media	29792-35	Q96DX7	TRIM44	ENSG00000166326	10.0	1.0	1.0	1.0	7.4703635796639265	7.4703635796639265			1	1	1
SomaScan	Media	29796-5	Q99720	SIGMAR1	ENSG00000147955	10.0	1.0	1.0	1.0	8.27948596434493	8.27948596434493			1	1	1
SomaScan	Media	29797-27	P11836	MS4A1	ENSG00000156738	10.0	1.0	1.0	1.0	9.358187563430743	9.358187563430743			1	1	1
SomaScan	Media	29798-10	Q15906	VPS72	ENSG00000163159	10.0	0.5	0.8	0.2	5.235566006341448	5.303040179834472			0	1	0
SomaScan	Media	29800-23	Q8N6M0	OTUD6B	ENSG00000155100	10.0	1.0	1.0	1.0	8.267720844802387	8.267720844802387			1	1	1
SomaScan	Media	29801-107	P11172	UMPS	ENSG00000114491	10.0	1.0	1.0	1.0	8.398390888843249	8.398390888843249			1	1	1
SomaScan	Media	29803-10	P82663	MRPS25	ENSG00000131368	10.0	0.4	0.2	0.6	6.334045220614668	6.446117704365972			0	0	0
SomaScan	Media	29804-142	Q9BWQ6	YIPF2	ENSG00000130733	10.0	1.0	1.0	1.0	8.038555467335673	8.038555467335673			1	1	1
SomaScan	Media	29805-5	Q9NW61	PLEKHJ1	ENSG00000104886	10.0	1.0	1.0	1.0	7.238510443812506	7.238510443812506			1	1	1
SomaScan	Media	29807-56	Q9HAS0	C17orf75	ENSG00000108666	10.0	1.0	1.0	1.0	7.297233676391832	7.297233676391832			1	1	1
